Date,Airline,Departure,Arrival,OverallRating,ReportLink
28/04/2023,Delta Air Lines,SLCSalt Lake City International - Utah,PDXPortland International - Oregon,7,../flightlog/report_572918_Delta Air Lines_2534.htm
28/04/2023,Delta Air Lines,AMSAmsterdam Schiphol ,JFKNew York John F Kennedy Int'l - New York,9,../flightlog/report_572898_Delta Air Lines_47.htm
28/04/2023,Delta Air Lines,LGBLong Beach Long Beach Municipal - California,SLCSalt Lake City International - Utah,7,../flightlog/report_572907_Delta Air Lines_4038.htm
28/04/2023,TUI Airlines Belgium,BRUBrussels Brussels ,ZTHZakinthos Island Dionysios Solomos ,7,../flightlog/report_602746_TUI Airlines Belgium_2433.htm
26/04/2023,Go Fly,AALAalborg  ,LPALas Palmas De Gran Canaria Gando ,10,../flightlog/report_572684_Go Fly_45.htm
24/04/2023,Alaska Airlines,SFOSan Francisco San Francisco International - California,SNASanta Ana John Wayne - California,6,../flightlog/report_572554_Alaska Airlines_3440.htm
20/04/2023,Aegean Airlines,ATHAthens Eleftherios Venizelos ,AXDAlexandroupolis  ,10,../flightlog/report_572192_Aegean Airlines_146.htm
16/04/2023,JetBlue Airways,SJCSan Jose  - California,JFKNew York John F Kennedy Int'l - New York,8,../flightlog/report_572194_JetBlue Airways_670.htm
15/04/2023,American Airlines,MSYNew Orleans  - Louisiana,DFWDallas Dallas Ft Worth - Texas,5,../flightlog/report_571913_American Airlines_2156.htm
15/04/2023,American Airlines,DFWDallas Dallas Ft Worth - Texas,ATLAtlanta Hartsfield Jackson International - Georgia,5,../flightlog/report_571915_American Airlines_2749.htm
14/04/2023,American Airlines,ATLAtlanta Hartsfield Jackson International - Georgia,CLTCharlotte Douglas - North Carolina,8,../flightlog/report_571905_American Airlines_1314.htm
14/04/2023,American Airlines,CLTCharlotte Douglas - North Carolina,MSYNew Orleans  - Louisiana,9,../flightlog/report_571910_American Airlines_1791.htm
14/04/2023,Aer Lingus,LAXLos Angeles International - California,DUBDublin Collinstown ,8,../flightlog/report_572317_Aer Lingus_68.htm
12/04/2023,United Airlines,LAXLos Angeles International - California,EWRNew York Newark International - New York,9,../flightlog/report_571476_United Airlines_2053.htm
11/04/2023,Vistara,GOXGoa  ,BLRBangalore Hindustan ,9,../flightlog/report_573007_Vistara_512.htm
11/04/2023,KLM,BCNBarcelona El Prat ,AMSAmsterdam Schiphol ,9,../flightlog/report_571373_KLM_1670.htm
03/04/2023,Aer Lingus,DUBDublin Collinstown ,LAXLos Angeles International - California,7,../flightlog/report_572316_Aer Lingus_69.htm
02/04/2023,American Airlines,DFWDallas Dallas Ft Worth - Texas,SNASanta Ana John Wayne - California,5,../flightlog/report_570653_American Airlines_1227.htm
02/04/2023,British Airways,LHRLondon Heathrow ,DFWDallas Dallas Ft Worth - Texas,5,../flightlog/report_570609_British Airways_193.htm
02/04/2023,British Airways,DUBDublin Collinstown ,LHRLondon Heathrow ,5,../flightlog/report_570558_British Airways_831.htm
30/03/2023,Transavia Airlines,RTMRotterdam The Haque ,BCNBarcelona El Prat ,9,../flightlog/report_570353_Transavia Airlines_6063.htm
28/03/2023,Air Europa,MADMadrid Adolfo Suárez ,LISLisbon Lisboa ,7,../flightlog/report_576791_Air Europa_1157.htm
28/03/2023,Japan Airlines,HNDTokyo Haneda International ,SFOSan Francisco San Francisco International - California,8,../flightlog/report_570660_Japan Airlines_2.htm
27/03/2023,Air Europa,LISLisbon Lisboa ,MADMadrid Adolfo Suárez ,6,../flightlog/report_576792_Air Europa_1152.htm
25/03/2023,British Airways,LHRLondon Heathrow ,DUBDublin Collinstown ,6,../flightlog/report_570023_British Airways_828.htm
24/03/2023,American Airlines,LAXLos Angeles International - California,LHRLondon Heathrow ,6,../flightlog/report_569999_American Airlines_134.htm
22/03/2023,Qatar Airways,CGKJakarta Soekarno - Hatta ,DOHDoha International ,9,../flightlog/report_569746_Qatar Airways_957.htm
18/03/2023,Animawings,HRGHurghada  ,OTPBucharest Otopeni International ,8,../flightlog/report_569499_Animawings_4105.htm
16/03/2023,Egyptair,CAICairo Cairo International ,BRUBrussels Brussels ,6,../flightlog/report_569319_Egyptair_725.htm
14/03/2023,Air France,LYSLyon St. Exupéry ,PUFPau Uzein ,9,../flightlog/report_569230_Air France_1572.htm
14/03/2023,Corsair,PTPPointe a Pitre Le Raizet ,ORYParis Orly ,9,../flightlog/report_569239_Corsair_927.htm
13/03/2023,Philippine Airlines,MNLManila Ninoy Aquino Int'l ,SFOSan Francisco San Francisco International - California,8,../flightlog/report_569216_Philippine Airlines_104.htm
